ANO;MÊS;DIA;HORA;qtdDiasUteis;TotalLIGs;MédiaLIGs;TotalAtds;MédiaAtds;Ligs/Atds
2022;8;1;07:00;21;39;1.86;8;0.38;4
2022;8;1;08:00;21;81;3.86;8;0.38;10
2022;8;1;09:00;21;71;3.38;13;0.62;5
2022;8;1;10:00;21;117;5.57;13;0.62;9
2022;8;1;11:00;21;90;4.29;13;0.62;6
2022;8;1;12:00;21;70;3.33;14;0.67;5
2022;8;1;13:00;21;62;2.95;12;0.57;5
2022;8;1;14:00;21;66;3.14;10;0.48;6
2022;8;1;15:00;21;47;2.24;6;0.29;7
2022;8;1;16:00;21;34;1.62;6;0.29;5
2022;8;1;17:00;21;18;0.86;6;0.29;3
2022;8;1;18:00;21;8;0.38;6;0.29;1
2022;8;2;07:00;21;39;1.86;6;0.29;6
2022;8;2;08:00;21;68;3.24;7;0.33;9
2022;8;2;09:00;21;100;4.76;12;0.57;8
2022;8;2;10:00;21;108;5.14;12;0.57;9
2022;8;2;11:00;21;77;3.67;12;0.57;6
2022;8;2;12:00;21;81;3.86;12;0.57;6
2022;8;2;13:00;21;66;3.14;12;0.57;5
2022;8;2;14:00;21;61;2.90;10;0.48;6
2022;8;2;15:00;21;51;2.43;5;0.24;10
2022;8;2;16:00;21;34;1.62;5;0.24;6
2022;8;2;17:00;21;23;1.10;5;0.24;4
2022;8;2;18:00;21;12;0.57;5;0.24;2
2022;8;2;19:00;21;1;0.05;5;0.24;0
2022;8;3;07:00;21;35;1.67;6;0.29;5
2022;8;3;08:00;21;71;3.38;9;0.43;7
2022;8;3;09:00;21;64;3.05;13;0.62;4
2022;8;3;10:00;21;88;4.19;13;0.62;6
2022;8;3;11:00;21;68;3.24;13;0.62;5
2022;8;3;12:00;21;73;3.48;13;0.62;5
2022;8;3;13:00;21;57;2.71;12;0.57;4
2022;8;3;14:00;21;55;2.62;10;0.48;5
2022;8;3;15:00;21;46;2.19;5;0.24;9
2022;8;3;16:00;21;46;2.19;5;0.24;9
2022;8;3;17:00;21;28;1.33;5;0.24;5
2022;8;3;18:00;21;6;0.29;5;0.24;1
2022;8;4;07:00;21;20;0.95;7;0.33;2
2022;8;4;08:00;21;48;2.29;8;0.38;6
2022;8;4;09:00;21;62;2.95;11;0.52;5
2022;8;4;10:00;21;88;4.19;11;0.52;8
2022;8;4;11:00;21;82;3.90;11;0.52;7
2022;8;4;12:00;21;71;3.38;11;0.52;6
2022;8;4;13:00;21;52;2.48;10;0.48;5
2022;8;4;14:00;21;49;2.33;8;0.38;6
2022;8;4;15:00;21;29;1.38;5;0.24;5
2022;8;4;16:00;21;28;1.33;5;0.24;5
2022;8;4;17:00;21;28;1.33;5;0.24;5
2022;8;4;18:00;21;11;0.52;5;0.24;2
2022;8;4;19:00;21;2;0.10;6;0.29;0
2022;8;5;07:00;21;13;0.62;6;0.29;2
2022;8;5;08:00;21;57;2.71;8;0.38;7
2022;8;5;09:00;21;60;2.86;11;0.52;5
2022;8;5;10:00;21;68;3.24;11;0.52;6
2022;8;5;11:00;21;75;3.57;11;0.52;6
2022;8;5;12:00;21;44;2.10;11;0.52;4
2022;8;5;13:00;21;41;1.95;9;0.43;4
2022;8;5;14:00;21;29;1.38;8;0.38;3
2022;8;5;15:00;21;30;1.43;7;0.33;4
2022;8;5;16:00;21;23;1.10;5;0.24;4
2022;8;5;17:00;21;11;0.52;5;0.24;2
2022;8;5;18:00;21;7;0.33;0;0.00;7
